id,L,M,S,XL,XS,XXL,XXXL
1,20,1,7,21,17,11,27
2,12,28,15,3,23,27,8
3,16,20,23,8,6,27,17
4,14,11,26,3,12,6,19
5,16,4,4,1,13,26,17
6,11,21,13,13,22,23,17
7,11,10,12,0,23,25,27
8,26,8,5,5,23,4,20
9,25,1,0,9,17,18,25
10,13,8,6,17,10,7,14
11,9,16,11,15,13,24,10
12,3,17,12,7,3,3,25
13,0,1,22,10,10,7,15
14,27,8,6,10,8,24,20
15,26,10,22,18,2,18,4
16,16,28,4,8,9,10,22
17,28,27,14,6,23,20,7
18,27,25,4,6,16,5,1
19,13,14,16,17,27,2,15
20,6,24,8,5,23,22,25
21,19,6,5,2,4,5,9
22,3,7,26,14,12,1,20
23,12,28,19,25,21,2,27
24,0,9,14,17,18,24,24
25,5,14,28,20,5,13,5
26,13,13,27,27,8,18,13
27,6,28,20,8,24,0,12
28,4,16,26,1,24,16,16
29,16,22,20,27,12,13,21
30,14,15,20,9,7,1,10
31,3,7,2,21,3,0,28
32,10,23,1,19,14,3,9
33,12,24,2,0,16,16,24
34,11,11,20,1,13,13,27
35,6,16,14,12,4,14,18
36,0,1,19,2,1,25,2
37,22,24,20,28,4,23,17
38,20,9,1,15,13,19,1
39,20,15,13,5,16,7,12
40,27,24,20,28,27,18,9
41,10,18,17,28,0,27,28
42,7,22,11,7,22,7,23
43,23,14,7,23,3,9,16
44,10,2,0,25,3,1,21
45,24,13,6,13,15,14,22
46,28,24,20,4,9,22,0
47,7,1,15,23,23,3,15
48,12,10,23,22,26,15,10
49,19,1,15,24,14,21,20
50,9,24,16,1,15,21,10
51,0,4,5,12,2,7,16
52,1,5,25,20,1,20,11
53,12,8,6,1,10,5,10
54,21,9,19,14,26,25,23
55,2,20,23,13,28,20,2
56,14,8,24,5,26,9,5
57,3,6,4,13,13,9,9
58,26,13,0,7,27,24,21
59,23,6,18,12,10,17,5
60,10,21,15,14,22,4,22
61,21,20,26,7,17,21,16
62,22,4,22,20,19,26,24
63,21,1,28,7,11,25,0
64,5,18,20,11,17,13,0
65,13,20,0,5,26,16,22
66,21,0,3,27,13,24,21
67,14,27,18,4,4,26,8
68,22,7,16,12,19,28,16
69,7,24,10,22,7,5,21
70,23,2,22,3,20,0,0
71,9,24,9,12,24,20,25
72,4,3,4,9,10,1,27
73,13,27,12,4,10,21,2
74,5,4,25,22,13,8,2
75,4,6,24,20,12,0,28
76,11,19,7,22,11,12,25
77,27,16,4,3,18,12,20
78,24,7,4,25,3,8,16
79,5,28,15,15,8,8,12
80,9,5,6,9,17,9,28
81,10,4,10,23,19,12,28
82,1,8,14,20,14,28,6
83,11,4,4,18,9,8,25
84,25,21,25,7,3,1,21
85,6,19,25,22,19,18,7
86,16,11,22,23,15,1,13
87,2,0,7,12,19,23,10
88,28,24,21,3,14,25,4
89,17,8,18,14,23,6,19
90,24,4,25,12,27,23,1
91,14,21,8,18,20,4,14
92,20,28,25,21,22,0,8
93,10,5,24,10,8,6,5
94,16,19,25,1,28,10,25
95,19,10,22,15,25,25,23
96,21,28,17,12,21,2,7
97,28,5,24,8,28,4,15
98,27,17,1,6,9,24,2
99,8,12,21,18,6,8,20
100,18,5,9,5,15,28,1
101,19,14,20,23,16,10,6
102,21,20,16,24,22,8,19
103,10,14,8,23,25,9,23
104,28,13,4,2,17,20,3
105,19,5,25,8,0,1,1
106,5,13,28,12,17,15,26
107,0,5,13,26,2,22,24
108,6,1,19,16,13,11,27
109,0,16,5,1,22,1,26
110,9,24,22,2,1,27,16
111,4,11,6,28,18,14,7
112,28,26,25,25,14,24,11
113,20,8,10,17,20,6,6
114,28,8,4,23,26,9,23
115,20,0,2,9,14,27,17
116,11,6,19,19,7,0,11
117,15,11,1,27,12,17,2
118,9,17,26,17,18,4,20
119,0,4,15,9,16,14,2
120,19,21,1,6,4,9,15
121,9,0,9,26,6,24,6
122,7,21,4,11,25,5,21
123,24,20,8,15,22,3,28
124,26,4,24,7,19,14,21
125,13,18,25,22,1,17,13
126,17,2,1,19,22,11,4
127,12,25,15,14,12,17,4
128,24,23,24,6,5,22,14
129,11,25,5,1,23,4,28
130,12,14,1,0,14,12,12
131,7,13,11,24,20,28,4
132,4,26,3,7,28,19,3
133,0,15,9,19,28,28,18
134,20,13,14,27,8,21,21
135,27,10,6,0,27,25,26
136,10,0,16,24,3,0,8
137,8,14,7,1,13,3,28
138,28,9,7,21,24,16,19
139,17,11,26,8,0,24,21
140,24,4,3,23,13,15,6
141,15,15,19,23,8,10,11
142,22,14,17,5,3,4,0
143,12,26,16,23,9,0,9
144,3,15,17,27,7,19,12
145,10,4,17,13,16,1,24
146,2,19,23,1,28,4,9
147,23,14,21,1,26,27,5
