id,name,price,sale_price
1,waistcoat,57.00,123.00
2,mlkshk,323.00,51.00
3,farm-to-table,225.00,54.00
4,gentrify,369.00,75.00
5,pinterest,252.00,93.00
6,mumblecore,70.00,133.00
7,leggings,32.00,168.00
8,iPhone,188.00,74.00
9,keffiyeh,379.00,47.00
10,chicharrones,131.00,33.00
11,hella,57.00,163.00
12,organic,237.00,29.00
13,literally,211.00,73.00
14,artisan,107.00,62.00
15,salvia,196.00,105.00
16,master,51.00,53.00
17,meggings,138.00,13.00
18,disrupt,68.00,155.00
19,narwhal,42.00,89.00
20,portland,183.00,146.00
21,vinyl,109.00,11.00
22,pour-over,270.00,89.00
23,DIY,134.00,174.00
24,goth,53.00,11.00
25,beard,57.00,47.00
26,farm-to-table,197.00,93.00
27,tousled,220.00,115.00
28,yr,79.00,59.00
29,intelligentsia,116.00,59.00
30,schlitz,194.00,32.00
31,sustainable,256.00,25.00
32,letterpress,144.00,88.00
33,gluten-free,238.00,30.00
34,vinyl,136.00,42.00
35,XOXO,112.00,177.00
36,irony,40.00,93.00
37,portland,302.00,61.00
38,cred,214.00,158.00
39,keffiyeh,329.00,76.00
40,Godard,317.00,82.00
41,Yuccie,69.00,132.00
42,mustache,26.00,153.00
43,chia,272.00,108.00
44,sartorial,234.00,1.00
45,scenester,127.00,169.00
46,meditation,12.00,39.00
47,pour-over,204.00,3.00
48,skateboard,217.00,164.00
49,wayfarers,251.00,82.00
50,gluten-free,234.00,176.00
51,hammock,219.00,175.00
52,cornhole,340.00,107.00
53,stumptown,112.00,4.00
54,mustache,236.00,124.00
55,disrupt,292.00,176.00
56,mlkshk,98.00,101.00
57,squid,369.00,0.00
58,chillwave,31.00,128.00
59,biodiesel,98.00,161.00
60,gluten-free,302.00,168.00
61,chicharrones,366.00,134.00
62,typewriter,134.00,70.00
63,mlkshk,20.00,110.00
64,celiac,162.00,118.00
65,chillwave,312.00,79.00
66,post-ironic,112.00,26.00
67,squid,245.00,183.00
68,church-key,258.00,175.00
69,tousled,28.00,32.00
70,tofu,55.00,150.00
71,mumblecore,328.00,87.00
72,helvetica,72.00,144.00
73,whatever,341.00,39.00
74,cornhole,38.00,148.00
75,chicharrones,113.00,158.00
76,try-hard,295.00,146.00
77,neutra,52.00,113.00
78,microdosing,10.00,48.00
79,bitters,314.00,116.00
80,meh,22.00,43.00
81,8-bit,87.00,108.00
82,synth,187.00,124.00
83,freegan,115.00,84.00
84,keffiyeh,129.00,17.00
85,tilde,33.00,30.00
86,keffiyeh,260.00,94.00
87,lumbersexual,99.00,19.00
88,meggings,296.00,78.00
89,poutine,261.00,94.00
90,cred,260.00,148.00
91,yr,14.00,97.00
92,truffaut,322.00,163.00
93,listicle,176.00,167.00
94,health,181.00,46.00
95,organic,163.00,161.00
96,microdosing,186.00,91.00
97,portland,34.00,21.00
98,stumptown,323.00,21.00
99,chia,192.00,18.00
100,pickled,334.00,176.00
101,goth,312.00,15.00
102,polaroid,369.00,163.00
103,keffiyeh,48.00,83.00
104,celiac,265.00,153.00
105,leggings,176.00,46.00
106,pug,345.00,139.00
107,quinoa,209.00,117.00
108,shoreditch,269.00,170.00
109,lo-fi,198.00,187.00
110,humblebrag,86.00,167.00
111,iPhone,242.00,74.00
112,chicharrones,60.00,77.00
113,flexitarian,121.00,64.00
114,organic,279.00,90.00
115,keytar,113.00,97.00
116,meh,95.00,162.00
117,vice,183.00,2.00
118,normcore,115.00,73.00
119,occupy,173.00,41.00
120,austin,321.00,36.00
121,truffaut,72.00,50.00
122,post-ironic,282.00,185.00
123,pour-over,47.00,125.00
124,chartreuse,119.00,53.00
125,microdosing,240.00,36.00
126,hammock,288.00,175.00
127,flannel,303.00,71.00
128,brooklyn,316.00,107.00
129,literally,280.00,3.00
130,tousled,161.00,172.00
131,lo-fi,271.00,19.00
132,chartreuse,52.00,158.00
133,cred,61.00,125.00
134,hashtag,237.00,78.00
135,waistcoat,108.00,54.00
136,cold-pressed,58.00,41.00
